char_id;people_firstname;people_lastname
1;Nicolas;Gabion
2;Jean-Christophe;Hembert
3;Alexandre;Astier
4;Lionnel;Astier
5;Franck;Pitiot
6;Anne;Girouard
7;Joëlle;Sevilla
8;Yvan;Le Bolloc'h
9;Jean-Robert;Lombard
10;Audrey;Fleurot
11;Thomas;Cousseau
12;Alexis;Hénon
13;Tony;Saba
14;Lan;Truong
15;Thibault;Roux
16;Caroline;Pascal
17;Didier;Bénureau
18;Julien;Dutel
19;Christian;Bujeau
20;Simon;Astier
21;Alain;Chapuis
22;Stéphane;Margot
23;Loïc;Varraut
24;Elie;Semoun
25;Jacques;Chambon
26;Bruno;Fontaine
27;Georges;Beller
28;Guillaume;Briat
29;Lorant;Deutsch
30;Antoine;De Caunes
31;Vanessa;Guedj
32;Marcel;Philippot
33;Serge;Papagalli
34;Barbara;Schulz
35;Emma;De Caunes
36;Aurélien;Portehaut
37;Bruno;Salomone
38;Gilles;Graveleau
39;Philippe;Nahon
40;Josée;Drevon
41;Denis;Maréchal
42;Léa;Drucker
;Fabien;Rault
